job_id,job_title,company_name,location,salary_min_usd,salary_max_usd,tech_stack,source,description,date_posted
OGWIP_100277,Senior Data Scientist,European Space Agency,Singapore,164677,250634,"Java, Spring Boot, Kafka, PostgreSQL",USAJOBS,"We are European Space Agency, looking for a Senior Data Scientist based in Singapore. You will work with Java, Spring Boot, Kafka, PostgreSQL to build scalable solutions. We offer competitive pay between $164,677 and $250,634.",2026-08-04 10:00:00
OGWIP_100283,Senior Data Scientist,GlobalSystems Inc,Remote - EMEA,139375,183387,"Python, SQL, TensorFlow, PyTorch",USAJOBS,"We are GlobalSystems Inc, looking for a Senior Data Scientist based in Remote - EMEA. You will work with Python, SQL, TensorFlow, PyTorch to build scalable solutions. We offer competitive pay between $139,375 and $183,387.",2026-08-02 03:00:00
OGWIP_100297,Cloud Architect,Globex,Remote - US Only,122325,170343,"JavaScript, React, Node.js, MongoDB",USAJOBS,"We are Globex, looking for a Cloud Architect based in Remote - US Only. You will work with JavaScript, React, Node.js, MongoDB to build scalable solutions. We offer competitive pay between $122,325 and $170,343.",2026-08-02 07:00:00
OGWIP_100299,NLP Engineer,HealthAI,"London, UK",75883,110802,"Python, Airflow, Snowflake, dbt",USAJOBS,"We are HealthAI, looking for a NLP Engineer based in London, UK. You will work with Python, Airflow, Snowflake, dbt to build scalable solutions. We offer competitive pay between $75,883 and $110,802.",2026-08-03 19:00:00
OGWIP_100304,Machine Learning Engineer,EduTech Global,"Seattle, WA, USA",129291,192544,"JavaScript, React, Node.js, MongoDB",USAJOBS,"We are EduTech Global, looking for a Machine Learning Engineer based in Seattle, WA, USA. You will work with JavaScript, React, Node.js, MongoDB to build scalable solutions. We offer competitive pay between $129,291 and $192,544.",2026-08-02 21:00:00
OGWIP_100310,NLP Engineer,TechNova,"Sydney, Australia",82162,133724,"Ruby on Rails, Redis, Heroku",USAJOBS,"We are TechNova, looking for a NLP Engineer based in Sydney, Australia. You will work with Ruby on Rails, Redis, Heroku to build scalable solutions. We offer competitive pay between $82,162 and $133,724.",2026-08-03 02:00:00
OGWIP_100312,Product Manager,NASA,"Sydney, Australia",87511,139101,"Python, Pandas, Scikit-Learn, AWS",USAJOBS,"We are NASA, looking for a Product Manager based in Sydney, Australia. You will work with Python, Pandas, Scikit-Learn, AWS to build scalable solutions. We offer competitive pay between $87,511 and $139,101.",2026-08-01 06:00:00
OGWIP_100320,Product Manager,EduTech Global,"Paris, France",82542,114412,"C++, CUDA, Computer Vision",USAJOBS,"We are EduTech Global, looking for a Product Manager based in Paris, France. You will work with C++, CUDA, Computer Vision to build scalable solutions. We offer competitive pay between $82,542 and $114,412.",2026-08-02 10:00:00
OGWIP_100321,DevOps Engineer,Quantum Data,"London, UK",67311,92393,"C++, CUDA, Computer Vision",USAJOBS,"We are Quantum Data, looking for a DevOps Engineer based in London, UK. You will work with C++, CUDA, Computer Vision to build scalable solutions. We offer competitive pay between $67,311 and $92,393.",2026-08-05 04:00:00
OGWIP_100322,Lead Data Scientist,Umbrella Corp,"Toronto, Canada",160032,201319,"Rust, WebAssembly, System Architecture",USAJOBS,"We are Umbrella Corp, looking for a Lead Data Scientist based in Toronto, Canada. You will work with Rust, WebAssembly, System Architecture to build scalable solutions. We offer competitive pay between $160,032 and $201,319.",2026-08-01 13:00:00
OGWIP_100325,Data Engineer,Federal Bureau of Investigation,Remote - APAC,102093,124416,"C++, CUDA, Computer Vision",USAJOBS,"We are Federal Bureau of Investigation, looking for a Data Engineer based in Remote - APAC. You will work with C++, CUDA, Computer Vision to build scalable solutions. We offer competitive pay between $102,093 and $124,416.",2026-08-04 16:00:00
OGWIP_100331,Product Manager,AI Solutions LLC,"Austin, TX, USA",82495,126443,"Go, Kubernetes, Docker, GCP",USAJOBS,"We are AI Solutions LLC, looking for a Product Manager based in Austin, TX, USA. You will work with Go, Kubernetes, Docker, GCP to build scalable solutions. We offer competitive pay between $82,495 and $126,443.",2026-08-04 00:00:00
OGWIP_100344,Analytics Engineer,AI Solutions LLC,Singapore,90401,122878,"Go, Kubernetes, Docker, GCP",USAJOBS,"We are AI Solutions LLC, looking for a Analytics Engineer based in Singapore. You will work with Go, Kubernetes, Docker, GCP to build scalable solutions. We offer competitive pay between $90,401 and $122,878.",2026-08-03 05:00:00
OGWIP_100354,NLP Engineer,Stark Industries,"London, UK",70840,98903,"Python, SQL, TensorFlow, PyTorch",USAJOBS,"We are Stark Industries, looking for a NLP Engineer based in London, UK. You will work with Python, SQL, TensorFlow, PyTorch to build scalable solutions. We offer competitive pay between $70,840 and $98,903.",2026-08-04 04:00:00
OGWIP_100357,Analytics Engineer,Federal Bureau of Investigation,"London, UK",69873,100167,"C++, CUDA, Computer Vision",USAJOBS,"We are Federal Bureau of Investigation, looking for a Analytics Engineer based in London, UK. You will work with C++, CUDA, Computer Vision to build scalable solutions. We offer competitive pay between $69,873 and $100,167.",2026-08-02 10:00:00
OGWIP_100372,Analytics Engineer,Quantum Data,"Bengaluru, India",35605,52096,"Python, Airflow, Snowflake, dbt",USAJOBS,"We are Quantum Data, looking for a Analytics Engineer based in Bengaluru, India. You will work with Python, Airflow, Snowflake, dbt to build scalable solutions. We offer competitive pay between $35,605 and $52,096.",2026-08-02 12:00:00
OGWIP_100380,Lead Data Scientist,European Space Agency,Singapore,150600,247251,"Python, SQL, TensorFlow, PyTorch",USAJOBS,"We are European Space Agency, looking for a Lead Data Scientist based in Singapore. You will work with Python, SQL, TensorFlow, PyTorch to build scalable solutions. We offer competitive pay between $150,600 and $247,251.",2026-08-01 14:00:00
OGWIP_100381,Full Stack Developer,Globex,"New York, NY, USA",104246,142743,"Python, Pandas, Scikit-Learn, AWS",USAJOBS,"We are Globex, looking for a Full Stack Developer based in New York, NY, USA. You will work with Python, Pandas, Scikit-Learn, AWS to build scalable solutions. We offer competitive pay between $104,246 and $142,743.",2026-08-01 01:00:00
OGWIP_100387,NLP Engineer,European Space Agency,"New York, NY, USA",108841,178171,"Go, Kubernetes, Docker, GCP",USAJOBS,"We are European Space Agency, looking for a NLP Engineer based in New York, NY, USA. You will work with Go, Kubernetes, Docker, GCP to build scalable solutions. We offer competitive pay between $108,841 and $178,171.",2026-08-02 16:00:00
OGWIP_100394,Backend Developer,GlobalSystems Inc,Remote - APAC,73255,123520,"TypeScript, Angular, Firebase",USAJOBS,"We are GlobalSystems Inc, looking for a Backend Developer based in Remote - APAC. You will work with TypeScript, Angular, Firebase to build scalable solutions. We offer competitive pay between $73,255 and $123,520.",2026-08-03 18:00:00
OGWIP_100396,Lead Data Scientist,European Space Agency,"New York, NY, USA",197437,315389,"JavaScript, React, Node.js, MongoDB",USAJOBS,"We are European Space Agency, looking for a Lead Data Scientist based in New York, NY, USA. You will work with JavaScript, React, Node.js, MongoDB to build scalable solutions. We offer competitive pay between $197,437 and $315,389.",2026-08-03 02:00:00
OGWIP_100400,NLP Engineer,GlobalSystems Inc,Singapore,82224,129890,"Go, Kubernetes, Docker, GCP",USAJOBS,"We are GlobalSystems Inc, looking for a NLP Engineer based in Singapore. You will work with Go, Kubernetes, Docker, GCP to build scalable solutions. We offer competitive pay between $82,224 and $129,890.",2026-08-02 21:00:00
OGWIP_100403,Senior Data Scientist,CyberDyne,"Paris, France",154050,228708,"C++, CUDA, Computer Vision",USAJOBS,"We are CyberDyne, looking for a Senior Data Scientist based in Paris, France. You will work with C++, CUDA, Computer Vision to build scalable solutions. We offer competitive pay between $154,050 and $228,708.",2026-08-04 10:00:00
OGWIP_100407,Cloud Architect,FinTech Innovations,"Bengaluru, India",57095,81020,"Python, SQL, TensorFlow, PyTorch",USAJOBS,"We are FinTech Innovations, looking for a Cloud Architect based in Bengaluru, India. You will work with Python, SQL, TensorFlow, PyTorch to build scalable solutions. We offer competitive pay between $57,095 and $81,020.",2026-08-04 10:00:00
OGWIP_100409,Backend Developer,EduTech Global,"Amsterdam, Netherlands",73538,111703,"Python, Airflow, Snowflake, dbt",USAJOBS,"We are EduTech Global, looking for a Backend Developer based in Amsterdam, Netherlands. You will work with Python, Airflow, Snowflake, dbt to build scalable solutions. We offer competitive pay between $73,538 and $111,703.",2026-08-05 04:00:00
OGWIP_100423,AI Researcher,Quantum Data,"Sydney, Australia",113682,133051,"Go, Kubernetes, Docker, GCP",USAJOBS,"We are Quantum Data, looking for a AI Researcher based in Sydney, Australia. You will work with Go, Kubernetes, Docker, GCP to build scalable solutions. We offer competitive pay between $113,682 and $133,051.",2026-08-01 11:00:00
OGWIP_100430,Machine Learning Engineer,Stark Industries,"Sydney, Australia",108549,156325,"C++, CUDA, Computer Vision",USAJOBS,"We are Stark Industries, looking for a Machine Learning Engineer based in Sydney, Australia. You will work with C++, CUDA, Computer Vision to build scalable solutions. We offer competitive pay between $108,549 and $156,325.",2026-08-04 21:00:00
OGWIP_100436,Full Stack Developer,Umbrella Corp,Remote - EMEA,79617,99260,"TypeScript, Angular, Firebase",USAJOBS,"We are Umbrella Corp, looking for a Full Stack Developer based in Remote - EMEA. You will work with TypeScript, Angular, Firebase to build scalable solutions. We offer competitive pay between $79,617 and $99,260.",2026-08-04 17:00:00
OGWIP_100451,AI Researcher,Initech,"San Francisco, CA, USA",144385,177422,"JavaScript, React, Node.js, MongoDB",USAJOBS,"We are Initech, looking for a AI Researcher based in San Francisco, CA, USA. You will work with JavaScript, React, Node.js, MongoDB to build scalable solutions. We offer competitive pay between $144,385 and $177,422.",2026-08-03 10:00:00
OGWIP_100454,Technical Program Manager,Department of Defense,"Toronto, Canada",91234,129109,"TypeScript, Angular, Firebase",USAJOBS,"We are Department of Defense, looking for a Technical Program Manager based in Toronto, Canada. You will work with TypeScript, Angular, Firebase to build scalable solutions. We offer competitive pay between $91,234 and $129,109.",2026-08-02 12:00:00
OGWIP_100455,Data Scientist,GlobalSystems Inc,Remote - Global,99033,121501,"Ruby on Rails, Redis, Heroku",USAJOBS,"We are GlobalSystems Inc, looking for a Data Scientist based in Remote - Global. You will work with Ruby on Rails, Redis, Heroku to build scalable solutions. We offer competitive pay between $99,033 and $121,501.",2026-08-02 04:00:00
OGWIP_100457,Data Scientist,CyberDyne,Remote - APAC,99374,121858,"Ruby on Rails, Redis, Heroku",USAJOBS,"We are CyberDyne, looking for a Data Scientist based in Remote - APAC. You will work with Ruby on Rails, Redis, Heroku to build scalable solutions. We offer competitive pay between $99,374 and $121,858.",2026-08-04 05:00:00
OGWIP_100462,Cybersecurity Analyst,Federal Bureau of Investigation,Remote - Global,80847,125920,"Python, SQL, TensorFlow, PyTorch",USAJOBS,"We are Federal Bureau of Investigation, looking for a Cybersecurity Analyst based in Remote - Global. You will work with Python, SQL, TensorFlow, PyTorch to build scalable solutions. We offer competitive pay between $80,847 and $125,920.",2026-08-02 09:00:00
OGWIP_100466,NLP Engineer,Quantum Data,"Sydney, Australia",83349,135500,"Go, Kubernetes, Docker, GCP",USAJOBS,"We are Quantum Data, looking for a NLP Engineer based in Sydney, Australia. You will work with Go, Kubernetes, Docker, GCP to build scalable solutions. We offer competitive pay between $83,349 and $135,500.",2026-08-03 05:00:00
OGWIP_100468,Technical Program Manager,HealthAI,"Austin, TX, USA",81797,128824,"Python, Airflow, Snowflake, dbt",USAJOBS,"We are HealthAI, looking for a Technical Program Manager based in Austin, TX, USA. You will work with Python, Airflow, Snowflake, dbt to build scalable solutions. We offer competitive pay between $81,797 and $128,824.",2026-08-03 19:00:00
OGWIP_100469,Software Engineer,GlobalSystems Inc,Remote - US Only,85396,105294,"Java, Spring Boot, Kafka, PostgreSQL",USAJOBS,"We are GlobalSystems Inc, looking for a Software Engineer based in Remote - US Only. You will work with Java, Spring Boot, Kafka, PostgreSQL to build scalable solutions. We offer competitive pay between $85,396 and $105,294.",2026-08-04 00:00:00
OGWIP_100470,Full Stack Developer,Federal Bureau of Investigation,"London, UK",69850,101668,"Python, Pandas, Scikit-Learn, AWS",USAJOBS,"We are Federal Bureau of Investigation, looking for a Full Stack Developer based in London, UK. You will work with Python, Pandas, Scikit-Learn, AWS to build scalable solutions. We offer competitive pay between $69,850 and $101,668.",2026-08-01 22:00:00
OGWIP_100472,NLP Engineer,Quantum Data,Remote - APAC,77855,108026,"Ruby on Rails, Redis, Heroku",USAJOBS,"We are Quantum Data, looking for a NLP Engineer based in Remote - APAC. You will work with Ruby on Rails, Redis, Heroku to build scalable solutions. We offer competitive pay between $77,855 and $108,026.",2026-08-03 06:00:00
OGWIP_100478,Data Scientist,Wayne Enterprises,"Paris, France",109213,150767,"JavaScript, React, Node.js, MongoDB",USAJOBS,"We are Wayne Enterprises, looking for a Data Scientist based in Paris, France. You will work with JavaScript, React, Node.js, MongoDB to build scalable solutions. We offer competitive pay between $109,213 and $150,767.",2026-08-01 21:00:00
OGWIP_100481,Cloud Architect,CyberDyne,Remote - APAC,121704,184547,"Python, SQL, TensorFlow, PyTorch",USAJOBS,"We are CyberDyne, looking for a Cloud Architect based in Remote - APAC. You will work with Python, SQL, TensorFlow, PyTorch to build scalable solutions. We offer competitive pay between $121,704 and $184,547.",2026-08-04 12:00:00
OGWIP_100483,Machine Learning Engineer,HealthAI,"Seattle, WA, USA",129474,178159,"Ruby on Rails, Redis, Heroku",USAJOBS,"We are HealthAI, looking for a Machine Learning Engineer based in Seattle, WA, USA. You will work with Ruby on Rails, Redis, Heroku to build scalable solutions. We offer competitive pay between $129,474 and $178,159.",2026-08-03 18:00:00
OGWIP_100490,Lead Data Scientist,Federal Bureau of Investigation,"Toronto, Canada",154820,249625,"Python, Pandas, Scikit-Learn, AWS",USAJOBS,"We are Federal Bureau of Investigation, looking for a Lead Data Scientist based in Toronto, Canada. You will work with Python, Pandas, Scikit-Learn, AWS to build scalable solutions. We offer competitive pay between $154,820 and $249,625.",2026-08-02 10:00:00
OGWIP_100491,Frontend Developer,European Space Agency,Remote - APAC,73788,117381,"Python, Pandas, Scikit-Learn, AWS",USAJOBS,"We are European Space Agency, looking for a Frontend Developer based in Remote - APAC. You will work with Python, Pandas, Scikit-Learn, AWS to build scalable solutions. We offer competitive pay between $73,788 and $117,381.",2026-08-01 20:00:00
OGWIP_100496,DevOps Engineer,NASA,"Toronto, Canada",93380,126451,"Python, Airflow, Snowflake, dbt",USAJOBS,"We are NASA, looking for a DevOps Engineer based in Toronto, Canada. You will work with Python, Airflow, Snowflake, dbt to build scalable solutions. We offer competitive pay between $93,380 and $126,451.",2026-08-01 01:00:00
OGWIP_100497,NLP Engineer,HealthAI,Remote - APAC,82144,104599,"Python, Pandas, Scikit-Learn, AWS",USAJOBS,"We are HealthAI, looking for a NLP Engineer based in Remote - APAC. You will work with Python, Pandas, Scikit-Learn, AWS to build scalable solutions. We offer competitive pay between $82,144 and $104,599.",2026-08-02 18:00:00
OGWIP_100498,Cloud Architect,EduTech Global,"New York, NY, USA",186471,247758,"Python, Airflow, Snowflake, dbt",USAJOBS,"We are EduTech Global, looking for a Cloud Architect based in New York, NY, USA. You will work with Python, Airflow, Snowflake, dbt to build scalable solutions. We offer competitive pay between $186,471 and $247,758.",2026-08-02 06:00:00
